,Paragraph No,Speech Date,Speaker,Speech Title,Speech Content,Speech Summary
10,10,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"It means that 16 million Americans who are currently relying on unemployment benefits while they look for work can count on these checks continuing to be there in the middle of this crisis. The American Rescue Plan also addresses the growing housing crisis in America. Approximately 14 million Americans, 14 million have fallen behind on rent and many risk eviction. If we fail to act, there’ll be a wave of evictions and foreclosures in the coming months as this pandemic rages on. Because there’s nothing we can do to change the trajectory of the pandemic in the next several months.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
11,11,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"So look, this should overwhelm emergency shelters, increase COVID-19 infections as people have nowhere to go and can’t socially distance. The American Rescue Plan asked Congress to provide rental assistance for millions of hard hit families and tenants. This will also be a bridged economic recovery for countless mom and pop landlords who can’t afford not to have the rent, but they can’t wait. So on Inauguration Day, I directed my administration to extend nationwide restrictions on evictions and foreclosures. These crises are straining the budgets of states and cities and tribal communities that are forced to consider layoffs and service reductions among essential workers, police officers, firefighters, first responders, nurses are all at the risk of losing their jobs.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
12,12,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Over the last year, more than 600,000 educators have lost their jobs in cities and towns. The American Rescue Plan will provide emergency funding to keep these essential workers on the job and maintain essential services. Look, it will also help small businesses that are the engines of our economic growth. When you say small business, most people think the major corporate entities are the ones who hire everybody. These small businesses are the glue that hold and they’re important, but these small businesses that glue and hold these communities together. They are hurting badly and they account for nearly half of the entire us workforce, nearly half.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
13,13,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Our rescue plan will provide flexible grants to help the hardest hit small businesses to survive the pandemic. And low cost capital to help entrepreneurs of all backgrounds create and maintain jobs, plus provide essential goods and services that communities so desperately depend on. Look, our recovery plan also calls for an increase in the minimum wage at 15, at least $15 an hour. No one in America should work 40 hours a week making below the poverty line. $15 gets people above the poverty line. We have so many millions of people working 40 hours a week working and some with two jobs, and they’re still below the poverty line.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
14,14,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Our plan access to affordable childcare. That’s going to enable parents, particularly women to get back to work. Millions are not working now because they don’t have that care. All told, the American Rescue Plan would lift 12 million Americans out of poverty and cut child poverty in half. That’s five million children lifted out of poverty. Our plan will reduce poverty in the black community by one third and reduce poverty and Hispanic community by almost 40%.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
15,15,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"I look forward to working with members of Congress of both parties to move quickly to get this American Rescue Plan to the American people. And then we can move with equal urgency and bipartisanship to the second step of our economic plan to Build Back Better, the recovery plan. It’s a plan that’s going to make historic investments in infrastructure, manufacturing, innovation, research and development, and clean energy and so much more that’s going to create millions more jobs. Good paying jobs, not minimum wage jobs. It will only work with members of both parties in the Congress. There are steps that we can and must take right now.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
16,16,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"For example, on Inauguration Day, I directed my administration to pause student loan repayments for interest for the interest payments for Americans with federal student loans until at least September. So they’re not going to have to pay till September. They still pay the bill as it stands now, but they will not accrue interest and they don’t have to pay, begin to pay until September. And we may have to look beyond that I might add. Today, I’m signing an executive order that directs the whole of government, a whole of government effort to help millions of Americans who were badly hurting.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
17,17,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Requires all federal agencies to do what they can do to provide relief to families, small businesses and communities. And in the days ahead, I expect agencies to act. Let me touch on two ways these actions can help change Americans’ lives. We need to tackle the growing hunger crisis in America. One in seven households in America, one in seven, more than one in five black and Latino households in America report they do not have enough food to eat. That includes nearly 30 million adults and as many as 12 million children.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
18,18,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"And again, they’re in this situation through no fault of their own. It’s unconscionable. The American Rescue Plan provides additional emergency food and nutrition assistance for tens of millions of children and families to address this crisis. But families literally can’t wait another day. As a result of the executive order I’m going to shortly sign, the Department of Agriculture will consider taking immediate steps to make it easier for the hardest hit families to enroll and claim more generous benefits in the critical food and nutrition assistance area.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
19,19,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"This is going to help tens of millions of families, especially those who can’t provide meals for their kids, who are learning remotely at home who are not receiving the regular meal plans that they have at school for breakfast or lunch. We also need to protect the health and safety of the American worker. Right now, approximately 40% of households in America have at least one member with a pre-existing condition. Just imagine, you’re out of work through no fault of your own, you file for unemployment while you’re looking for a job, you find one and you get an offer. But then you find out if there’s a high risk of you’re getting infected with COVID-19 because of your condition and you and your loved ones have even greater risk of death and serious illness because of the pre-existing conditions, so you turn it down.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
20,20,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Right now if you did that, you could be denied unemployment insurance because you’re offered a job, you didn’t take it. It’s wrong. No one should have to choose between their livelihoods and their own health, or the health of their loved ones in the middle of a deadly pandemic. Because of the executive order I’m about to sign, I expect the Department of Labor to guarantee the right to refuse employment that will jeopardize your health. And if you do so, you’ll still be able to qualify for the insurance. That’s a judgment the Labor Department will make.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
21,21,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Look, they’re just two consequential ways that the action I’m taking today will help people in need. Another way to help approximately two million veterans maintain their financial footing by pausing federal collections on over payments and debts. Another, make sure that federal contractors are receiving taxpayers’ dollars, provide their workers with the pay and benefits they deserve. These are places where federal tax dollars are administered or being made available to build things from ships to staircases. And we let out the federal government lets the contract and we’re going to make sure that they buy American and are made in America.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
22,22,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"And here’s another. Right now there are up to 8 million people that are eligible for direct payments from the CARES Act and a relief bill passed in December. They’re entitled to those payments, but there’s not an easy way for those folks to access to them. So we’re making it a priority today to fix that problem and get them relief they’re entitled to. Look, I’m going to close and summarize this way. A lot of America’s hurting. The virus is surging. We’re 400,000 dead, expected to reach well over 600,000. Families are going hungry. People are at risk of being evicted. Job losses are mounting again. We need to act. No matter how you look at it, we need to act.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
23,23,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"If we act now, our economy will be stronger in both the short and long run. That’s what economist left, right and center telling us. Both liberal and conservative will be better and stronger across the board. If we act now, we’ll be better able to compete with the world. If we act now, we’ll be better able to meet our moral obligations to one another as Americans. I don’t believe that people in this country just want to stand by and watch their friends, their neighbors, co-workers, fellow Americans go hungry, lose their homes or lose the sense of dignity and hope and respect. I don’t believe that, especially in the middle of a pandemic that’s so weakened and wrecked so much havoc and cause so much pain on America.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
24,24,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"That’s not who we are. The bottom line is this. We’re in a national emergency. We need to act like we’re in a national emergency. So we’ve got to move with everything we’ve got and we’ve got to do it together. I don’t believe Democrats or Republicans are going hungry and losing jobs. I believe Americans are going hungry and losing their jobs, and we have the tools to fix it. We have the tools to get through this. We have the tools to get this virus under control and our economy back on track. And we have the tools to help people. So let’s use the tools, all of them, use them now.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
25,25,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"So I’m going to sign this executive order, but let me conclude again by saying. Folks, this is one of the cases where business, labor Wall Street, Main Street, liberal, conservative, economists know we have to act now not only to help people who are in need now, but to allow us to be in a competitive position worldwide and be the leader of the world economy in the next year or two and three and going forward. So thank you. I’m going to sign this executive order.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
26,26,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,The first one is the economic relief related to COVID-19 pandemic that I referenced. The second one is protecting the federal workforce. Thank you very much.,President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
27,27,"Jan 22, 2021",Speaker 5,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Mr. President, do you support Mitch McConnell’s timeline for a February impeachment trial?",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
28,28,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"I haven’t heard the detail of it, but I do think that having some time to get our administration up and running I want to thank the Senate for passing out our Secretary of Defense. It looks like our Secretary of Treasury. It looks like our Secretary of State’s in place. So the more time we have to get up and running and meet these crises, the better.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
29,29,"Jan 22, 2021",Speaker 6,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,[crosstalk 00:21:27],President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
30,30,"Jan 22, 2021",Speaker 6,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,Thank you.,President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
31,31,"Jan 22, 2021",Speaker 6,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,[crosstalk 00:21:31],President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
32,32,"Jan 22, 2021",Speaker 7,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Anything to say on Hank Aaron? Mr. President, any comments on Hank Aaron? What did he say-",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
33,0,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Mr. President, pro tem.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
34,1,"Jan 22, 2021",Speaker 2,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,The majority leader.,"Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
35,2,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,The Senator from Vermont.,"Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
36,3,"Jan 22, 2021",Speaker 2,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"The majority leader is recognized, the Senator from New York.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
37,4,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Now, Mr. President, it came to our attention last night that members of the National Guard, after standing on duty to protect the Capitol for inauguration day, keeping us safe, were sleeping in parking garages and cramped quarters without proper space or ventilation. It was utterly unacceptable. I have told those who run the security of the Capitol that it can never happen again, and I pledge to every National Guard member that it will not happen again. The minute I heard about this outrage last night, we made sure it was fixed immediately. Every member of the Guard was found proper accommodations inside. And as of this morning, everyone was accounted for and taken care of.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
38,5,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"This morning, I went over to the CDC and I spoke to a number of guardsmen personally, to make sure they were okay. I want to thank Senators Hassan, Duckworth, Kelly and Heinrich for their work on this matter last night, as well as Senator Lujan, who went around late at night to make sure things were okay as well. And I want to thank all the members who were concerned and lent a hand. I also want to particularly thank acting Sergeant at Arms, Jennifer Hemingway, who, when we told her about this situation, patrolled the floors of the Capitol complex until past 3:00 AM to ensure that no one was left behind or not where they belonged. And she was back at her desk first thing today to follow up. We owe an enormous debt of gratitude to the men and women who worked to keep us safe on January 6th and the days since. A situation like last night will never happen again.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
39,6,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Now, I’ve spoken about the Senate’s agenda for the next several weeks. We have three essential items on our plate. One, the confirmation of President Biden’s cabinet and other key officials. Two, legislation to provide desperately needed COVID relief. Three, a second impeachment trial of Donald Trump. The Senate must and will do all three, COVID relief, confirmation of nominees, and impeachment trial. Now the first order of business is to fulfill our constitutional duty, to advise and consent on the president’s appointments to his cabinet.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
40,7,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"This morning, the Senate will vote to confirm President Biden’s nominee for Secretary of Defense, Lloyd Austin. Mr. Austin will be the first African-American to ever helm the Defense Department in its history, a powerful symbol of the diversity and history of America’s armed forces. Mr. Austin has a storied career in the army, but those days are behind him. As Secretary of Defense, he promised to empower and lift up his civilian staff, and I believe he will be an outstanding Secretary of Defense for everyone at the Pentagon, service members and civilian employees alike. The Secretary of Defense, of course, has a hugely important task ahead of him. He must once again demonstrate to the world that the US military will always support our friends, deter our adversaries, and if necessary defeat them. Lloyd Austin is the right person for the job. He has the experience, the vision and the competence to run the largest agency in our government. I look forward to confirming his nomination shortly.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
41,8,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Afterwards, the Senate must continue to install President Biden’s team by confirming Secretaries of State, Homeland Security and Treasury. We need Republican cooperation to confirm these nominees, but we expect that cooperation to continue. The continuity of our national security, military and intelligence policy, as well as our ability to effectively respond to the current health and economic crises depend on having these cabinet officials confirmed.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
42,9,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Now, as I mentioned, the Senate will also conduct a second impeachment trial for Donald Trump. I’ve been speaking to the Republican leader about the timing and duration of the trial, but make no mistake, a trial will be held in the United States Senate, and there will be a vote on whether to convict the president. I’ve spoken to Speaker Pelosi, who informed me that the articles will be delivered to the Senate on Monday. Now I’ve heard some of my Republican colleagues argue that this trial would be unconstitutional because Donald Trump is no longer in office, an argument that has been roundly repudiated, debunked by hundreds of constitutional scholars left, right and center, and defies basic common sense. It makes no sense whatsoever that a president or any official could commit a heinous crime against our country and then be permitted to resign, so as to avoid accountability and a vote to disbar them from future office. It makes no sense.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
43,10,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Regardless, the purveyors of this unusual argument are trying to delay the inevitable. The fact is the House will deliver the article of impeachment to the Senate. The Senate will conduct a trial of the impeachment of Donald Trump. It will be a full trial. It will be a fair trial, but make no mistake, there will be a trial. And when that trial ends, Senators will have to decide if they believe Donald John Trump incited the insurrection against the United States.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
44,11,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Now over the course of elections in November and January, the American people chose to retire four Republican Senators and elect a Democratic majority to the Senate. The Senate must now take the basic step of passing an organizing resolution and setting up the rules for a Senate where there are 50 members of either party. Luckily we have a clear precedent for what to do in this situation. In 2001, then majority leader Lott and minority leader Daschle came together and agreed on a set of rules to govern a 50-50 Senate. We should follow that precedent. We have offered to abide by the same agreement. The last time there was a 50-50 Senate, what’s there is fair. That is precedent.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
45,12,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"We could organize the Senate today, if both sides agreed to abide by the same rules as last time. The Republican leader, however, has made an extraneous demand that would place additional constraints on the majority, constraints that have never been in place before. In fact, his proposal would remove a tool that the Republican leader himself used twice in just the last Congress to accelerate the confirmation of Republican nominees. Leader McConnell’s propos- sorry, leader McConnell’s proposal is unacceptable and it won’t be accepted. And the Republican leader knew that when he first proposed it.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
46,13,"Jan 22, 2021",Senator Schumer,Senate Majority Leader Chuck Schumer Speech Transcript: Trump Impeachment to go to Senate Monday - Rev,"Only two days ago, Mr. President, we celebrated the inauguration of a new president and the turning over of a new leaf. The American people want us to work together and move past the meaningless political fights and gridlock that have plagued us for too long. It’s time to get to work. The first step is for the Republican caucus to agree to follow the same precedent that governed the Senate last time around. I yield the floor.","Senate Majority Leader Chuck Schumer spoke on the Senate floor on January 22, 2021. He announced that the articles of Trump’s impeachment will be delivered to the Senate on Monday. Read the transcript of his full speech remarks here."
47,0,"Jan 21, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Response Transcript January 21 - Rev,"Before I begin today’s announcement, let me take a few moments to thank all the law enforcement folks for all they did, the military personnel, from all across the Federal State and local agencies to secure yesterday’s inaugural activities. And a special thanks to the members of the National Guard from around the country. It was an unprecedented situation.",President Joe Biden gave remarks on his administration’s response to the COVID-19 pandemic on January 21. Read the transcript of his speech here.
48,1,"Jan 21, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Response Transcript January 21 - Rev,"Hopefully, never have to be renewed again. And everyone with the most professionalism and duty and honor that could be expected. As president, as Commander In Chief, I always respect and Revere their service and that of their families. But now to today’s announcement, Vice-President Harris and I were joined by members of our COVID-19 team, response team, and Dr. Tony Fauci, our Chief COVID medical adviser.",President Joe Biden gave remarks on his administration’s response to the COVID-19 pandemic on January 21. Read the transcript of his speech here.
49,2,"Jan 21, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Response Transcript January 21 - Rev,"Xavier Becerra, excuse me, our nominee for Secretary Of Health And Human Services. Dr. Vivek Murthy, our nominee for Surgeon General. Dr. Rochelle Willinsky, she’s going to be the director for the Centers For Disease Control Prevention. And Dr. Marcella Nunez-Smith, who will be leading our equity work and the COVID response. And Jeff Zients and Natalie Quillian, who are managing this whole effort.",President Joe Biden gave remarks on his administration’s response to the COVID-19 pandemic on January 21. Read the transcript of his speech here.
50,3,"Jan 21, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Response Transcript January 21 - Rev,"Yesterday, during my inaugural address, I offered as salient prayer, and silent prayer, it was both salient and silent. I thought it was important that people understand what had happened, that we all pay tribute to the… Our prayers for those 400,000 Americans who’ve lost their lives in this pandemic. On Tuesday, Jill and I, Kamala and Doug, we stood at the Reflecting Pool in front of the Lincoln Memorial and joined Americans all across the country to remember those 400,000 moms and dads, husbands, and wives, children, sons, daughters.",President Joe Biden gave remarks on his administration’s response to the COVID-19 pandemic on January 21. Read the transcript of his speech here.
